,Team,Year,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,QB1 Name,QB1 Rating,RB1 Name,RB1 Rating,RB2 Name,RB2 Rating,WR1 Name,WR1 Rating,WR2 Name,WR2 Rating,WR3 Name,WR3 Rating,TE1 Name,TE1 Rating,DE1 Name,DE1 Rating,DE2 Name,DE2 Rating,DT1 Name,DT1 Rating,DT2 Name,DT2 Rating,LB1 Name,LB1 Rating,LB2 Name,LB2 Rating,LB3 Name,LB3 Rating,LB4 Name,LB4 Rating,CB1 Name,CB1 Rating,CB2 Name,CB2 Rating,CB3 Name,CB3 Rating,S1 Name,S1 Rating,S2 Name,S2 Rating
25,Arizona Cardinals,2019.0,5,10,1,.344,361,442,-81,-5.1,1.8,-3.2,-0.3,-2.9,Kyler Murray,99.45146103896104,David Johnson,82.0,Kenyan Drake,0.0,Larry Fitzgerald,56.6,Damiere Byrd,49.7,Christian Kirk,49.5,Maxx Williams,86.5,Rodney Gunter,50.63766760892598,Jonathan Bullard,40.27743937552561,Corey Peters,36.199956733588834,Chris Jones,29.298359679233798,Jordan Hicks,149.05126783805744,Chandler Jones,121.12491526905342,Tanner Vallejo,95.18567372505738,Terrell Suggs,90.81946176900048,Patrick Peterson,131.33850151589036,Byron Murphy,108.71237861061502,Tramaine Brock,76.91032593357131,Budda Baker,98.05486343774612,Jalen Thompson,39.93750955685459
26,Arizona Cardinals,2020.0,8,8,0,.500,410,367,43,2.7,-0.1,2.6,1.5,1.0,Kyler Murray,108.95974025974026,Chase Edmonds,41.3,Kenyan Drake,0.0,Christian Kirk,111.4,Andy Isabella,77.2,DeAndre Hopkins,68.8,Dan Arnold,123.5,Josh Mauro,29.22240832981401,Domata Peko,24.663577540673,Zach Allen,77.09000311817185,Jordan Phillips,62.41727385433795,Haason Reddick,119.8602368207701,Jordan Hicks,107.03780077539176,Markus Golden,103.835789232545,De'Vondre Campbell,88.18629408326261,Byron Murphy,83.6393873882899,Dre Kirkpatrick,70.80921575923503,Patrick Peterson,65.99092588650865,Budda Baker,114.0344263988618,Jalen Thompson,32.46382525010167
27,Arizona Cardinals,2021.0,11,6,0,.647,449,366,83,4.9,0.3,5.2,3.6,1.6,Colt McCoy,117.56858766233766,James Conner,65.6,Chase Edmonds,0.3,DeAndre Hopkins,132.6,Antoine Wesley,110.0,A.J. Green,99.8,Maxx Williams,72.5,J.J. Watt,123.14761458189832,Zach Allen,93.3592959943438,Leki Fotu,43.07944410135877,Corey Peters,24.46443730954405,Isaiah Simmons,123.03607281135366,Chandler Jones,113.26933337670631,Jordan Hicks,105.02262960284791,Markus Golden,97.28506916493986,Byron Murphy,85.1349186853798,Robert Alford,36.29805959934018,Marco Wilson,32.40641711505093,Budda Baker,119.35607829034188,Jalen Thompson,119.35607829034188
28,Arizona Cardinals,2022.0,4,13,0,.235,340,449,-109,-6.4,0.2,-6.2,-1.9,-4.3,Kyler Murray,99.45146103896104,James Conner,11.0,Eno Benjamin,4.0,A.J. Green,64.2,DeAndre Hopkins,57.4,Marquise Brown,51.1,Zach Ertz,55.0,J.J. Watt,118.10257725649876,Michael Dogbe,16.039949029948176,Zach Allen,121.96988393293704,Rashard Lawrence,68.22014152921177,Isaiah Simmons,130.4110216095389,Zaven Collins,128.37937465392443,Myjai Sanders,60.36190629517669,Dennis Gardeck,50.06547595289973,Marco Wilson,106.89502029467934,Byron Murphy,85.77886795384613,Antonio Hamilton,61.870188794162814,Budda Baker,75.50097054735562,Jalen Thompson,67.30994210217841
29,Arizona Cardinals,2023.0,4,13,,.235,330,455,-125,-7.4,1.9,-5.4,-1.8,-3.7,Kyler Murray,102.7922077922078,James Conner,37.3,Emari Demercado,0.0,Michael Wilson,104.5,Greg Dortch,79.7,Marquise Brown,73.7,Trey McBride,43.9,Kevin Strong,62.60078809168698,Jonathan Ledbetter,45.50198033770003,Carlos Watkins,113.02293299495103,Dante Stills,50.242535918489104,Kyzir White,122.95446197309364,Dennis Gardeck,77.96873104899781,Krys Barnes,68.41153779057171,Josh Woods,64.94114234200183,Antonio Hamilton,55.52496114580382,Kei'Trel Clark,54.8035874342805,Garrett Williams,40.49133064802732,Jalen Thompson,133.71515761343497,K'Von Wallace,106.7492345293278
30,Arizona Cardinals,2024.0,8,9,,.471,400,379,21,1.2,0.9,2.1,0.8,1.2,Kyler Murray,106.77540584415584,James Conner,24.3,Emari Demercado,0.0,Marvin Harrison Jr.,124.7,Michael Wilson,80.5,Greg Dortch,58.1,Elijah Higgins,62.2,Dante Stills,65.6023151412768,Ben Stille,62.201125951023805,Naquan Jones,61.483830625011805,,,Dennis Gardeck,117.66140074919224,Kyzir White,99.43357109702627,Mack Wilson,83.13762609784872,Zaven Collins,75.11283254925928,Sean Murphy-Bunting,98.44838607351576,Garrett Williams,59.74936243276071,Max Melton,39.24998934411864,Budda Baker,94.7154111366554,Jalen Thompson,90.82950300447712
65,Baltimore Ravens,1999.0,8,8,,.500,324,277,47,2.9,-2.0,0.9,-1.6,2.5,Tony Banks,96.3676948051948,Errict Rhett,42.0,Charles Evans,17.0,Patrick Johnson,132.0,Qadry Ismail,120.9,Justin Armour,116.4,,,Rob Burnett,149.99631269418202,Michael McCrary,116.36163732886148,Tony Siragusa,71.92269959641997,Larry Webster,24.20103783512457,Ray Lewis,154.88200304090032,Peter Boulware,94.71439215832396,Jamie Sharper,78.7150914792979,Cornell Brown,18.69236383113355,Chris McAlister,92.1456567633737,Duane Starks,87.30440266952915,DeRon Jenkins,66.42467926059564,Rod Woodson,143.7619547566921,Kim Herring,84.72713171789934
66,Baltimore Ravens,2000.0,12,4,,.750,333,165,168,10.5,-2.5,8.0,0.0,8.0,Trent Dilfer,80.17792207792208,Jamal Lewis,75.47114588127013,Priest Holmes,73.35853658536585,Qadry Ismail,103.5,Travis Taylor,76.4,Jermaine Lewis,37.3,Shannon Sharpe,78.9,Rob Burnett,146.19988140181985,Michael McCrary,109.59207665893786,Sam Adams,66.60370243736709,Tony Siragusa,47.476655723706685,Ray Lewis,138.20457485161955,Jamie Sharper,107.77651371278158,Peter Boulware,78.46709568518345,Cornell Brown,42.93312189394643,Duane Starks,94.77031787885706,Chris McAlister,76.37728490362593,James Trapp,52.01438805776967,Rod Woodson,129.12695896162705,Kim Herring,109.8573858673324
67,Baltimore Ravens,2001.0,10,6,,.625,303,265,38,2.4,0.8,3.2,-0.8,4.0,Randall Cunningham,92.12751623376624,Terry Allen,73.57708237459732,Jason Brookins,71.10023009664059,Qadry Ismail,107.7,Brandon Stokley,102.2,Travis Taylor,87.8,Todd Heap,79.4,Adalius Thomas,117.22668327113796,Michael McCrary,96.9453910264867,Sam Adams,46.34278278368114,Tony Siragusa,38.40242616706896,Ray Lewis,158.3,Peter Boulware,155.7061601704005,Jamie Sharper,116.20232694064651,Brad Jackson,24.042950473806563,Duane Starks,98.02135186597748,James Trapp,90.3131281466023,Chris McAlister,78.27251239202106,Rod Woodson,126.6761949003649,Corey Harris,115.39924000399118
68,Baltimore Ravens,2002.0,7,9,0,.438,316,354,-38,-2.4,0.3,-2.1,-1.5,-0.6,Chris Redman,90.3286525974026,Jamal Lewis,70.80883571099862,Chester Taylor,49.31849976990336,Travis Taylor,109.0,Brandon Stokley,106.8,,,Todd Heap,87.5,Adalius Thomas,117.62769001059372,Anthony Weaver,100.61948847883976,Kelly Gregg,62.96017802435669,Ma'ake Kemoeatu,12.6399858629341,Ray Lewis,145.51748916564313,Ed Hartwell,104.0405479221403,Bernardo Harris,102.43096331872972,Peter Boulware,97.32832470274462,Gary Baxter,122.95486081503596,James Trapp,97.39520790367862,Chris McAlister,75.5584032159651,Ed Reed,146.13576383110177,Will Demps,96.08015207084934
69,Baltimore Ravens,2003.0,10,6,,.625,391,281,110,6.9,-0.6,6.3,3.3,3.0,Anthony Wright,77.73660714285714,Jamal Lewis,86.252738150023,Chester Taylor,68.1134376438104,Marcus Robinson,140.4,Travis Taylor,114.8,,,Terry Jones,88.3,Anthony Weaver,121.35163029060764,Marques Douglas,121.32690381177136,Kelly Gregg,65.2373342443554,Ma'ake Kemoeatu,20.172799737400585,Ray Lewis,142.26776417131282,Ed Hartwell,111.57407392467458,Peter Boulware,109.23580550047654,Adalius Thomas,108.05994646954493,Gary Baxter,130.91229223247888,Chris McAlister,76.1255713917397,Chad Williams,69.3429105714491,Ed Reed,146.05284246777782,Will Demps,89.2176404274743
70,Baltimore Ravens,2004.0,9,7,,.563,317,268,49,3.1,3.1,6.1,-0.6,6.8,Kyle Boller,78.76452922077921,Jamal Lewis,84.06728025770823,Chester Taylor,78.74933271974228,Clarence Moore,120.7,Randy Hymes,82.8,Travis Taylor,43.8,Todd Heap,89.9,Marques Douglas,110.2409716771516,Anthony Weaver,78.89907552470132,Kelly Gregg,78.42065103146105,Ma'ake Kemoeatu,13.452860476730727,Adalius Thomas,129.05472668924506,Ray Lewis,110.42737236650972,Terrell Suggs,78.50938350911044,Ed Hartwell,53.31101417647957,Gary Baxter,122.50540383499464,Chad Williams,96.82937622678574,Chris McAlister,69.46172008139912,Ed Reed,151.62899265918952,Will Demps,106.41733185911625
71,Baltimore Ravens,2005.0,6,10,,.375,265,299,-34,-2.1,0.3,-1.8,-3.5,1.7,Kyle Boller,74.52435064935065,Chester Taylor,58.4974229176254,Jamal Lewis,55.87487344684768,Derrick Mason,62.1,Mark Clayton,52.5,,,Todd Heap,82.5,Terrell Suggs,146.43920755241402,Jarret Johnson,78.23732989048467,Kelly Gregg,69.5520086825488,Ma'ake Kemoeatu,28.054763193083883,Adalius Thomas,134.8977456304389,Ray Lewis,116.95406120131472,Bart Scott,95.72961119834116,Tommy Polley,75.70782703320283,Chad Williams,75.07476054455007,Chris McAlister,69.35637780767581,Samari Rolle,47.61609018380943,Ed Reed,71.6075426245381,Will Demps,40.69146422587898
72,Baltimore Ravens,2006.0,13,3,,.813,353,201,152,9.5,-0.2,9.3,1.5,7.8,Kyle Boller,124.63555194805194,Mike Anderson,90.47795674183158,Jamal Lewis,71.46447307869305,Demetrius Williams,125.7,Mark Clayton,95.1,Derrick Mason,47.2,Daniel Wilcox,84.8,Terrell Suggs,158.3,Trevor Pryce,128.947920140636,Kelly Gregg,94.30087813716072,Haloti Ngata,35.43475431856882,Ray Lewis,158.3,Bart Scott,137.40303457857004,Adalius Thomas,117.4121146041182,Dennis Haley,26.55435071256516,Chris McAlister,132.86913304554182,Samari Rolle,106.9914608807819,Corey Ivy,74.05674142000024,Dawan Landry,133.872769774388,Ed Reed,123.26538718076358
73,Baltimore Ravens,2007.0,5,11,,.313,275,384,-109,-6.8,0.1,-6.7,-5.0,-1.8,Troy Smith,99.06599025974025,Willis McGahee,75.90823745973309,Musa Smith,68.84192360791532,Devard Darling,158.3,Demetrius Williams,61.6,Derrick Mason,52.8,Todd Heap,48.9,Trevor Pryce,101.6810594277094,Haloti Ngata,83.60420509306894,Kelly Gregg,91.63446282663408,Justin Bannan,44.22379450404762,Ray Lewis,127.28526582082894,Terrell Suggs,110.29164399430032,Bart Scott,84.91491986256248,Jarret Johnson,80.23437785705362,Samari Rolle,109.3438766815271,Corey Ivy,101.16505835232232,Chris McAlister,64.46919527159484,Ed Reed,121.52685435435028,Dawan Landry,94.40963990558848
